number,value,datetime_start,datetime_complete,duration,params_alpha-eval,params_alpha-train,params_batch-size,params_eps-eval,params_eps-train,params_lambda-actions-eval,params_lambda-actions-train,params_lambda-frames-eval,params_lambda-frames-train,params_learning-rate,params_n-epochs,params_n-frames,params_radius-gw,params_rho,params_ub-actions,params_ub-frames,params_weight-decay,state
24,0.6639748513698578,2025-03-02 13:01:05.070338,2025-03-02 13:02:29.303027,0 days 00:01:24.232689,0.25378232369104986,0.5074367868904975,8,0.08997430544863941,0.0369709404821042,0.027047739626877895,0.040416958237860776,0.02648530827682619,0.08633286357878575,0.0001603227421786861,25,7,0.03301788975511003,0.23036188997580725,False,True,2.022976141186472e-05,COMPLETE
25,0.6576721012592316,2025-03-02 13:02:29.305787,2025-03-02 13:03:43.557517,0 days 00:01:14.251730,0.26135196366512314,0.5129572404796058,8,0.005948498346487689,0.03748123664074994,0.029460516438158436,0.04175196435436028,0.026781404940282905,0.09176449140024978,0.000177619182407083,22,7,0.01646074462112434,0.2356174038695364,False,True,8.019525890902708e-05,COMPLETE
26,0.5440354853868484,2025-03-02 13:03:43.560287,2025-03-02 13:04:54.381362,0 days 00:01:10.821075,0.2629044134515778,0.5082592359684515,8,0.001996671228026589,0.03557190429407602,0.030359110483714657,0.04235412097225184,0.023945391100840673,0.0999864428409412,0.0012639997243265243,18,8,0.01495961636467157,0.16662805410970838,False,False,7.294707753144549e-05,COMPLETE
27,0.65660320520401,2025-03-02 13:04:54.384296,2025-03-02 13:06:09.115997,0 days 00:01:14.731701,0.6047870590474005,0.455286949870876,8,0.02019688668749288,0.019017109981441002,0.04068047716638951,0.054592872292552205,0.009552414706212452,0.09089356532855968,0.00011621914960130784,22,7,0.0010426289482249607,0.21964333078849524,False,True,2.135966255631685e-05,COMPLETE
28,0.6176537096500397,2025-03-02 13:06:09.118805,2025-03-02 13:07:21.031876,0 days 00:01:11.913071,0.7292773007170438,0.6099041405535576,8,0.011304070538673675,0.038523832990224015,0.049103157541693206,0.035920153420469704,0.029287519000227316,0.08238193033804932,0.0005171023377041367,20,9,0.017862689246783338,0.15178099826715719,False,True,0.0002378593299814791,COMPLETE
29,0.6381200522184372,2025-03-02 13:07:21.034732,2025-03-02 13:08:30.386878,0 days 00:01:09.352146,0.4517130781785834,0.6913856216195536,8,0.007318411573757106,0.015096108584974215,0.03266389686866119,0.022240737522703682,0.014194307060316443,0.09316684992759738,0.00012524860111144684,17,6,0.009188391920558859,0.2918721676790007,False,False,9.037669406076278e-05,COMPLETE
30,0.6268524795770645,2025-03-02 13:08:30.389683,2025-03-02 13:09:45.987335,0 days 00:01:15.597652,0.5131765965900497,0.4132831314144773,8,0.023498532421575975,0.026980535291249018,0.03983120849881632,0.043317487699553826,0.008600759970423293,0.04037050036549763,0.000487222725221038,22,20,0.034262402892262143,0.2979094430624142,False,True,0.00028207970215828515,COMPLETE
31,0.6519212156534195,2025-03-02 13:09:45.990280,2025-03-02 13:10:59.932803,0 days 00:01:13.942523,0.5993792374001471,0.45930310736867025,8,0.020343984419638892,0.018198265466533105,0.0230928250452175,0.05441232182047427,0.017116756314115557,0.08992884413407821,9.799272079562763e-05,22,4,0.003047226041450274,0.2214288749176069,False,True,2.557827911291171e-05,COMPLETE
32,0.6558563351631165,2025-03-02 13:10:59.935901,2025-03-02 13:12:16.065311,0 days 00:01:16.129410,0.6841871844461872,0.5103911473356444,8,0.009562953348058748,0.02886541809496629,0.037793568091183775,0.06334875040759383,0.008057397858168574,0.08429562080125656,4.1792722594287265e-05,23,7,0.010605933801989324,0.24111174853977774,False,True,1.6139462200289912e-05,COMPLETE
33,0.6498480975627899,2025-03-02 13:12:16.068270,2025-03-02 13:13:27.050062,0 days 00:01:10.981792,0.5950965286536457,0.35127244928278145,8,0.01828329159920617,0.013650805200495315,0.052341536873893535,0.08170662812848443,0.027472401146399997,0.09428772123496439,0.0002084535249855053,20,6,0.0010656528693961526,0.2006329753669325,False,True,6.0099634791092834e-05,COMPLETE
