run_num,seed,test_f1_full,test_f1_per,test_miou_full,test_miou_per,test_mof_full,test_mof_per
1,10, 0.7490129470825195,0.7874348163604736,0.5582689642906189,0.6247472763061523,0.6874609589576721,0.7254258990287781
2,42, 0.6878679394721985,0.7677223682403564,0.5249903202056885,0.614894688129425,0.6517064571380615,0.7211222648620605
3,777,0.7374921441078186,0.7809476256370544,0.5564550161361694,0.6172995567321777,0.6782097816467285,0.7209682464599609
4,100,0.7410537600517273,0.7751624584197998,0.5523881912231445,0.6144327521324158,0.6793349385261536,0.7196587324142456
