task_name,cluster_k,f1_per,f1_full,miou_per,miou_full,mof_per,mof_full
wsws_static,3,0.658826470375061,0.6684133410453796,0.5408282279968262,0.5211072564125061,0.6179388761520386,0.5873278975486755
wsws_static,4,0.6594265699386597,0.6564133763313293,0.6201452612876892,0.5875344276428223,0.6263689994812012,0.5866904854774475
wsws_random,3,0.645070493221283,0.363699734210968,0.5040141344070435,0.28831955790519714,0.5766640901565552,0.37661176919937134
wsws_random,4,0.555422842502594,0.3377479910850525,0.5054047703742981,0.31428858637809753,0.5238417983055115,0.37520745396614075
mixed_static,3,0.736381471157074,0.3359608054161072,0.6176043748855591,0.20448262989521027,0.6994816064834595,0.4748418629169464
mixed_static,4,0.7706359624862671,0.39386123418807983,0.6750867962837219,0.3497314453125,0.7247638702392578,0.5678550601005554
mixed_static,6,0.8399360775947571,0.5090740323066711,0.754264235496521,0.5529331564903259,0.7561438679695129,0.6769695281982422
mixed_static,7,0.7155821323394775,0.36497291922569275,0.5719265937805176,0.40169769525527954,0.6938344836235046,0.5910005569458008
